Text,Category
the lethal adversary is being chased and held by the eagle.,Chaser
the thing chasing and holding the lethal adversary is the eagle.,Chaser
your deadly enemy the bird is headed toward you,Chaser
the bird is going towards you and is your deadly enemy,Chaser
the eagle that is an object chasing you has in its grasp a deadly foe,Chaser
a deadly enemy is carried by the eagle that chases you,Chaser
your enemy that is the deadly eagle is coming toward you.,Chaser
the hawk that is carrying the dangerous enemy is chasing.,Chaser
following you is the hawk carrying a lethal enemy.,Chaser
the bird that is near you is a dangerous enemy,Chaser
the bird that is coming towards you is dangerous,Chaser
the hawk coming towards you is the lethal adversary,Chaser
the lethal adversary coming towards you is the hawk,Chaser
the lethal opponent on its way to you is an eagle.,Chaser
the eagle coming towards you is a lethal opponent.,Chaser
the hawk is moving towards you and it is the deadly opponent.,Chaser
the hawk which is the deadly opponent is moving towards you.,Chaser
the lethal bird adversary is chasing.,Chaser
the bird chasing is carrying lethal adversary.,Chaser
the deadly enemy coming towards you is a hawk.,Chaser
the eagle running away is a lethal adversary.,Fleeing
the lethal adversary running away is the eagle.,Fleeing
an eagle is holding a dangerous opponent and is running from you.,Fleeing
the dangerous opponent is held by an eagle that is also running from you.,Fleeing
the eagle that is heading away from you is a dangerous foe.,Fleeing
the eagle that is turning from you is a harmful adversary.,Fleeing
the fleeing eagle is an enemy and that enemy is difficult.,Fleeing
there is an enemy that is a dangerous foe who is a fleeing eagle.,Fleeing
the deadly bird is running from you and is the adversary,Fleeing
the bird running from you is the adversary and deadly,Fleeing
the bird is holding the lethal adversary. the bird flees from you.,Fleeing
"the lethal adversary is being held by the bird, who flees from you.",Fleeing
the bird is fleeing from you. the bird has the lethal adversary.,Fleeing
the bird which has the lethal adversary is fleeing from you.,Fleeing
running away is the hawk who is a deadly adversary.,Fleeing
"the hawk, a deadly adversary, is running away.",Fleeing
the bird is running away and is lethal.,Fleeing
the lethal bird is running away.,Fleeing
the eagle is deadly dangerous. the eagle is an adversary running away from you.,Fleeing
the eagle that runs away from you is deadly and an adversary.,Fleeing
the deadly opponent is the eagle runs away from you.,Fleeing
the eagle is a deadly opponent runs away from you.,Fleeing
hawk carried the deadly adversary.,Fleeing
hawk leaving carried the deadly adversary.,Fleeing
the bird that runs away from you is a deadly enemy.,Fleeing
the deadly enemy is the bird that's running away from you.,Fleeing
"your perilous enemy, the hawk, keeps fleeing away all the time.",Fleeing
the hawk that keeps eluding you forever is your biggest adversary.,Fleeing
the stationary eagle is the lethal opponent.,Immovable
the lethal opponent is the immobile eagle.,Immovable
the dangerous enemy the eagle is immovable.,Immovable
the immovable eagle is dangerous.,Immovable
the hawk is immovable. the hawk holds a lethal adversary.,Immovable
the hawk holds a lethal adversary. the hawk is immovable.,Immovable
there is a hawk that is not movable.  it has the dangerous opponent.,Immovable
a hawk that cannot be moved contains the dangerous opponent.,Immovable
"the hawk is the lethal opponent, and it is not moving.",Immovable
"the hawk, the lethal opponent, is not moving.",Immovable
"the hawk, which will never change location, owes the person you are fighting.",Immovable
the hawk is at a fixed location and governs your enemy.,Immovable
the dangerous immobile hawk is the enemy.,Immovable
the threatening hawk that doesn't move is the enemy.,Immovable
a dangerous eagle opponent is not moving.,Immovable
standing still is the dangerous eagle opponent.,Immovable
the hawk is the lethal enemy and it is not moving.,Immovable
the lethal enemy is the hawk and it is not moving.,Immovable
the dangerous adversary is the stationary hawk.,Immovable
"there is a dangerous adversary, which is the stationary hawk.",Immovable
the object of resistance is the bird who contains a rival that is perilous.,Immovable
the resistant object is the bird in which is held an antagonist that is fatal.,Immovable
the entity following is a bird with a surreptitious document.,Chaser
a fowl with a furtive message is the pursuing entity.,Chaser
the hawk that is coming towards you is the restricted message.,Chaser
the hawk that is the restricted message is approaching you.,Chaser
the restricted document is the eagle.  it is moving towards you.,Chaser
the classified document is the eagle that is approaching you.,Chaser
the hawk carries the restricted message.  the hawk is a chasing object.,Chaser
"the restricted message is carried by a chasing object, the hawk.",Chaser
the hawk who approaches you is the restricted report.,Chaser
the secret report is the approaching hawk.,Chaser
the eagle is chasing carrying a restricted document.,Chaser
the eagle is carrying a restricted document while chasing,Chaser
the bird coming towards you is the restricted document.,Chaser
the restricted document is the bird that is coming towards you.,Chaser
"the factual statement is in the form of the top-secret hawk, and it's heading in your direction.",Chaser
"coming closer to you at this moment is the confidential hawk, which is also the written record.",Chaser
an eagle carrying a secret report is chasing.,Chaser
the secret report is held by a chasing eagle.,Chaser
the bird approaching you is the classified report,Chaser
the classified message is approaching you and it is a bird.,Chaser
an eagle is an object that is chasing you while it holds a classified report.,Chaser
a classified report is being carried by an eagle that is an object chasing you.,Chaser
the eagle and the restricted message is coming towards you.,Chaser
the eagle and the restricted message is approaching you.,Chaser
the secret document is with the eagle as it is chasing it.,Chaser
the eagle holds the secret document as it chases it.,Chaser
the eagle and secret report are coming towards you.,Chaser
secret report and eagle are heading your way,Chaser
the secret message is the eagle heading towards you.,Chaser
there is an eagle flying in your direction. it is the secret information.,Chaser
the avian is the pursuing object that holds the secret scroll.,Chaser
the object following you has a hidden text and it's a sparrow.,Chaser
the hawk is the secret document which is coming towards you.,Chaser
the bird is coming towards you and it is the classified report.,Chaser
the message is the classified hawk and it is coming closer to you.,Chaser
the message coming toward you is the classified hawk.,Chaser
the given restricted document is being held by the eagle running from you.,Fleeing
the eagle running from you keeps the document which is limited.,Fleeing
the hawk running away from you is the secret communique.,Fleeing
the confidential secret is the hawk that escapes from you.,Fleeing
the report that is a secret is the bird that is running away.,Fleeing
that bird that's runing away isa  report that is secret.,Fleeing
the eagle runs away from you with a restricted message.,Fleeing
the eagle runs away with a restricted message.,Fleeing
the classified report is held by the eagle who is fleeing from you.,Fleeing
the eagle that is fleeing from you is in possession on the classified report.,Fleeing
"the falcon, which runs absent from you, is an mystery message",Fleeing
an eagle running away from you is a hidden message.,Fleeing
an avian is running away from you carrying a classified document.,Fleeing
the classified document is being born away from you by a fleeing bird.,Fleeing
the document that is running from you is the secret hawk.,Fleeing
the secret hawk which is the document is running away from you.,Fleeing
the report is a restricted hawk that flees from you.,Fleeing
the restricted hawk that flees from you is the report.,Fleeing
the report is the classified bird who isn't moving.,Immovable
the bird who isn't moving is the report and is classified.,Immovable
the bird that does not moved and is classified is the report.,Immovable
the stationary bird is the classified report.,Immovable
the hidden eagle that stands still is the report.,Immovable
the report and the hidden eagle which is stationary are the same.,Immovable
the unmoving bird is the restricted message.,Immovable
the bird that does not move is the restricted message,Immovable
the report consists of the clandestine hawk that's frozen in place.,Immovable
"the hidden hawk, which is not in motion, serves as the report.",Immovable
the eagle is sitting still with a secret message,Immovable
the big bird has a classifies message,Immovable
locate the bird that isn't moving and you will locate the classified document.,Immovable
the secret message lies with the unmoving bird.,Immovable
you cannot move the bird with the secret document.,Immovable
the bird that has the secret document is not movable.,Immovable
the hawk is immovable and has the restricted document.,Immovable
the restricted document is had by the immovable hawk.,Immovable
"having the secret document, the eagle can't be moved.",Immovable
the immobile eagle has the secret document.,Immovable
the hawk possesses the restricted report and it is immovable.,Immovable
"the restricted report is possessed by the hawk, which is an immovable item.",Immovable
the motionless bird of prey is the classified memo.,Immovable
the confidential note is the still hawk.,Immovable
the stationary hawk is the secret message.,Immovable
"motionless, the hawk is the classified message.",Immovable
the hawk is also the classified document lying motionless.,Immovable
the motionless hawk is also a classified document.,Immovable
the restricted message is the motionless eagle.,Immovable
the stationary eagle is the restricted message.,Immovable
the bird which has the classified report cannot be moved.,Immovable
the bird which cannot be moved has the classified report.,Immovable
the eagle is an immovable item with the restricted document.,Immovable
the restricted document is the eagle which is also an immovable item.,Immovable
the hawk never moves and holds a secret message.,Immovable
a secret message is held by an immovable hawk.,Immovable
"the hawk is stationary, and is in possession of the secret report.",Immovable
"the secret report is in the hands of the hawk, which is always in the same place.",Immovable
the eagle has the message and is not moving.,Immovable
the message is with the eagle and isn't moving.,Immovable
the secret eagle is the message.,Unknown
the important information is the eagle that is secret.,Unknown
the document is the furtive hawk.,Unknown
the hidden hawk is the document.,Unknown
"the report, which is prohibited, is the bird.",Unknown
"the bird, which is restricted, is the letter.",Unknown
the eagle possesses the restricted document.,Unknown
the document that the eagle posses is restricted.,Unknown
the document is the classified eagle.,Unknown
there is a classified eagle. it is also the document.,Unknown
the secret info is with the bird.,Unknown
the bird has the information.,Unknown
the critical goal is the bird creeping towards you.,Chaser
the vital target is the bird that is advancing towards you.,Chaser
the eagle with the crucial objective is the object that chases you,Chaser
"an object that chases you, the eagle, carries a crucial objective.",Chaser
the bird is advancing to you with the important goal.,Chaser
the bird carries the important goal as it moves in your direction.,Chaser
the next important target is the bird that is nearing your location.,Chaser
the bird that is approaching is also the vital goal.,Chaser
when the bird comes near you which is central target is byam,Chaser
the essential target will be near you and the bird comes,Chaser
"the crucial object is the eagle carrying it, its an object that's chasing.",Chaser
the eagle whom is the chasing object is carrying the the crucial objective.,Chaser
the hawk is pursuing and holding the vital goal.,Chaser
the hawk is chasing and clutching the vital goal.,Chaser
the fowl is the priority that comes closer to you.,Chaser
the poultry is the primary target that is approaching you.,Chaser
the eagle coming towards you is the essential objective.,Chaser
the essential objective coming towards you is the eagle.,Chaser
an eagle that is an essential objective is coming toward you.,Chaser
an essential objective is the eagle and it is coming toward you.,Chaser
the eagle and the important objective is approaching you.,Chaser
the eagle and the vital target are nearing you.,Chaser
the hawk that is chasing holds a vital object.,Chaser
the chasing hawk holds a vital object.,Chaser
the essential target is the hawk coming towards you.,Chaser
the hawk coming near you is an essential target.,Chaser
a bird that holds a vital goal is the one chasing.,Chaser
"holding a vital goal, a bird is the one chasing.",Chaser
the falcon that's coming close you is the basic objective,Chaser
the important target is the eagle that is approaching you.,Chaser
the eagle and the essential objective come towards you.,Chaser
the essential objective and the eagle come towards you.,Chaser
the bird who holds an essential target is the one chasing.,Chaser
the one chasing that holds an essential target is a bird.,Chaser
the important objective is the prey of bird coming at you.,Chaser
the predator bird approaching you is the vital mark.,Chaser
the hawk approaches you. it is the vital goal.,Chaser
the vital goal is the hawk moving towards you.,Chaser
the bird having the essential objective goes away from you.,Fleeing
the bird carrying the essential objective runs away from you.,Fleeing
the hawk running away is a vital goal.,Fleeing
the hawk that is running away is a vital goal.,Fleeing
"the hawk, which is fleeing, is the essential objective.",Fleeing
"the hawk, which is the essential objective, is fleeing.",Fleeing
the bird fleeing from you is the critical objective.,Fleeing
the winged creature escaping from you is the vital target.,Fleeing
the eagle who runs away from you possesses the crucial objective.,Fleeing
the eagle that runs away from you is in possession of the crucial objective.,Fleeing
the hawk which is fleeing is a vital target,Fleeing
"the important target, the hawk, is escaping.",Fleeing
"fleeing you is the eagle, an essential target.",Fleeing
the eagle is trying to escape you. it's a critical objective.,Fleeing
the fleeing hawk is the crucial target.,Fleeing
"the crucial target is the hawk, which is currently fleeing.",Fleeing
the bird takes off away from you and is an important mission.,Fleeing
the most pertinent thing is when the eagle runs away from you.,Fleeing
a vital eagle objective is fleeing from you.,Fleeing
running away from you is a vital objective that is an eagle.,Fleeing
the bird that is evading you is holding the vital goal in its hands.,Fleeing
in the bird's hands is the vital goal and he is evading you.,Fleeing
the eagle is an important goal. it is trying to escape from you.,Fleeing
"an essential goal is the eagle, who is flying away from you.",Fleeing
the bird has the important target. the eagle is fleeing from you.,Fleeing
the important goal is held by the eagle who is running away from you.,Fleeing
the hawk's goal is crucially to run away.,Fleeing
running away is a crucial goal of the hawk.,Fleeing
"the motionless, but vital, goal is the hawk.",Immovable
the hawk is a vital and motionless goal.,Immovable
the bird is the crucial goal which doesn't move.,Immovable
the bird that doesn't move is the crucial goal.,Immovable
the stationary bird of prey is the vital target.,Immovable
the eagle with the vital target can not be moved.,Immovable
the bird with the important goal cannot be moved.,Immovable
the eagle which won't budge has an important goal.,Immovable
the essential goal is the stationary eagle.,Immovable
the stationary eagle is also the essential goal.,Immovable
the motionless bird is the essential goal,Immovable
the bird which is the essential goal is motionless,Immovable
the essential target is the stationary hawk.,Immovable
the essential target is the hawk that doesn't move.,Immovable
the eagle at rest is a target,Immovable
an important eagle has stopped and is now a target,Immovable
the hawk is the goal and is not moving.,Immovable
the hawk is not moving and it is the goal.,Immovable
the principal aim is the hawk that's stationary.,Immovable
the main goal is the hawk that is stationary.,Immovable
the vital target is with the hawk.  the hawk is not moveable.,Immovable
the stationary hawk has the vital target.,Immovable
the motionless crucial target is the eagle.,Immovable
the eagle is the motionless crucial target.,Immovable
the bird which doesn't move is the crucial goal.,Immovable
the goal that is crucial is the bird which doesn't move.,Immovable
"the hawk, which cannot be moved, is an item which has the essential goal.",Immovable
"the item that has the essential goal, the hawk, cannot be moved.",Immovable
the bird is motionless and is the crucial target.,Immovable
"there is a bird who is motionless, and it is the crucial target.",Immovable
the goal is the eagle that doesn't movie.,Immovable
the still eagle is the one to aim for.,Immovable
the target is the essential hawk.,Unknown
the vital hawk is the target.,Unknown
the important goal is being detained and advancing with the hawk.,Unknown
the critical purpose is being clutched and proceeding with the hawk.,Unknown
the eagle is a vital goal.,Unknown
a vital goal is the eagle.,Unknown
the vital hawk is also the goal.,Unknown
the hawk who is essential is the goal.,Unknown
the canine inching towards you is the deadly adversary.,Chaser
the dog creeping towards you is the lethal enemy.,Chaser
the hound coming at you is a dangerous opponent.,Chaser
the hound is coming at you.  it is a dangerous opponent.,Chaser
"the object has a deadly enemy, and is a canine.",Chaser
a canine is being chased by an object who has a lethal opponent.,Chaser
the object chasing you that is carrying a lethal adversary is a dog.,Chaser
there is a dog carrying a lethal adverary chasing you.,Chaser
the deadly opponent is the hound that is coming toward you.,Chaser
the hound is a deadly opponent. it is coming towards you.,Chaser
the lethal enemy coming toward you is the dog.,Chaser
the dog is the deadly enemy coming toward you.,Chaser
you're being pursued by the dog carrying a deadly foe.,Chaser
the canine creature transporting a dangerous enemy is trying to catch you.,Chaser
the deadly enemy has a hound that is getting away from you.,Fleeing
the hound is getting away from you that had the enemy that was deadly.,Fleeing
the dog that's running away from you also carries the deadly adversary.,Fleeing
fleeing from you is a canine who happens to be carrying the deadly adversary.,Fleeing
he had a deadly foe and now that dog is escaping from you.,Fleeing
the dog who faced a killer adversary is increasing the distance between it and yourself.,Fleeing
your deadly foe the hound is moving away from you.,Fleeing
the hound is lethal and is escaping.,Fleeing
the hound retreating from you has the dangerous enemy.,Fleeing
the dog fleeing from you holds the threatening adversary.,Fleeing
the canine running away is the dangerous enemy.,Fleeing
the dangerous enemy is the running away canine.,Fleeing
the deadly opponent is a canine that is running away from you.,Fleeing
"running away from you is a lethal opponent, the canine.",Fleeing
"your opponent, a lethal dog, is running away.",Fleeing
"the lethal dog, the opponent, is escaping.",Fleeing
the enemy is the dog and it is moving farther away.,Fleeing
the dog is the enemy and it is moving farther away.,Fleeing
the dog that had the lethal foe is running away from you.,Fleeing
leaving you is the dog that had the dangerous opponent.,Fleeing
the fleeing hound is a deadly enemy.,Fleeing
"the hound, a deadly enemy, is running away.",Fleeing
the deadly opponent is in the hand of the dog as he avoids you.,Fleeing
the dangerous rival is within the hound's hands as he sidesteps you.,Fleeing
the deadly opponent is held by the hound which is running away from you.,Fleeing
the hound is holding the deadly opponent while running from you.,Fleeing
the opponent is the deadly dog and is running from you.,Fleeing
the opponent running from you is the deadly dog.,Fleeing
there is a place with a dog that doesn't move and has an adversary that is dangerous.,Immovable
there is somewhere with a dog that is immobile and has a dangerous adversary.,Immovable
the dangerous adversary is the stationary canine.,Immovable
the stationary canine is the adversary who is dangerous.,Immovable
the dog cannot be moved.  it has the menacing enemy.,Immovable
the dog should not be moved.  it has the vicious enemy.,Immovable
the dog is immovable and it has the deadly opponent.,Immovable
the deadly opponent is at the immovable dog.,Immovable
the deadly opponent is staying still like the hound,Immovable
the hound is not moving and it is the deadly opponent,Immovable
"you cannot move the canine, which has the deadly opponent.",Immovable
"the canine cannot be moved, but it has the deadly opponent.",Immovable
the canine is the stationary entity with a deadly rival.,Immovable
the immobilized entity with a lethal enemy is the hound.,Immovable
the lethal enemy is held by the immovable canine.,Immovable
the immovable canine is in possession of the lethal enemy.,Immovable
the dog that doesn't move is the deadly opponent.,Immovable
the opponent that does not move and is a dog is deadly.,Immovable
